case_id,event_count,expected_valid,expected_fault_code,wod2sim_valid,wod2sim_observed_codes,wod2sim_fault_detected,wod2sim_classification_correct,wod2sim_localization_correct,status_only_valid,status_only_fault_detected,status_only_classification_correct,status_only_localization_correct
fault:semantic.route_missing,792,False,semantic.route_missing,False,semantic.route_missing,True,True,True,True,False,False,False
fault:semantic.command_only,989,False,semantic.command_only,False,semantic.command_only,True,True,True,True,False,False,False
fault:semantic.road_center_reference,989,False,semantic.road_center_reference,False,semantic.road_center_reference,True,True,True,True,False,False,False
fault:temporal.stale_observation,989,False,temporal.stale_observation,False,temporal.stale_observation,True,True,True,True,False,False,False
fault:temporal.invalid_sample_count,989,False,temporal.invalid_sample_count,False,temporal.invalid_sample_count,True,True,True,True,False,False,False
fault:temporal.nan_trajectory,989,False,temporal.nan_trajectory,False,temporal.nan_trajectory,True,True,True,True,False,False,False
fault:lifecycle.duplicate_close,990,False,lifecycle.duplicate_close,False,lifecycle.duplicate_close,True,True,True,True,False,False,False
fault:lifecycle.late_image,990,False,lifecycle.late_image,False,lifecycle.late_image,True,True,True,True,False,False,False
fault:lifecycle.late_route,990,False,lifecycle.late_route,False,lifecycle.late_route,True,True,True,True,False,False,False
fault:plugin.optional_backend_missing,989,False,plugin.optional_backend_missing,False,plugin.optional_backend_missing,True,True,True,True,False,False,False
fault:deployment.docker_unavailable,989,False,deployment.docker_unavailable,False,deployment.docker_unavailable,True,True,True,True,False,False,False
fault:deployment.gpu_runtime_unavailable,989,False,deployment.gpu_runtime_unavailable,False,deployment.gpu_runtime_unavailable,True,True,True,True,False,False,False
fault:deployment.scene_artifact_missing,989,False,deployment.scene_artifact_missing,False,deployment.scene_artifact_missing,True,True,True,True,False,False,False
fault:evidence.manifest_missing,989,False,evidence.manifest_missing,False,evidence.manifest_missing,True,True,True,True,False,False,False
fault:evidence.hash_mismatch,989,False,evidence.hash_mismatch,False,evidence.hash_mismatch,True,True,True,True,False,False,False
control:trace_prefix_01,7,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_02,77,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_03,147,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_04,217,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_05,287,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_06,357,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_07,427,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_08,497,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_09,567,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_10,637,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_11,707,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_12,777,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_13,847,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_14,917,True,,True,,False,True,False,True,False,True,False
control:trace_prefix_15,987,True,,True,,False,True,False,True,False,True,False
